algo,serie,dimension,time
serie3,strassen,16,107
serie3,strassen,16,116
serie3,strassen,16,104
serie3,strassen,16,103
serie3,strassen,16,115
serie3,strassen,16,97
serie3,strassen,16,112
serie3,strassen,16,117
serie3,strassen,16,114
serie3,strassen,16,109
