algo,serie,dimension,time
serie3,conv,16,94
serie3,conv,16,118
serie3,conv,16,122
serie3,conv,16,93
serie3,conv,16,96
serie3,conv,16,91
serie3,conv,16,103
serie3,conv,16,88
serie3,conv,16,95
serie3,conv,16,97
