algo,serie,dimension,time
serie4,strassen,32,135
serie4,strassen,32,147
serie4,strassen,32,132
serie4,strassen,32,144
serie4,strassen,32,151
serie4,strassen,32,140
serie4,strassen,32,147
serie4,strassen,32,134
serie4,strassen,32,158
serie4,strassen,32,139
