algo,serie,dimension,time
serie2,conv,8,93
serie2,conv,8,107
serie2,conv,8,95
serie2,conv,8,109
serie2,conv,8,89
serie2,conv,8,94
serie2,conv,8,104
serie2,conv,8,98
serie2,conv,8,93
serie2,conv,8,91
